Time,Data
1979-01-01,28.237
1980-01-01,28.365
1981-01-01,27.736
1982-01-01,27.794
1983-01-01,27.869
1984-01-01,27.976
1985-01-01,27.612
1986-01-01,28.127
1987-01-01,28.621
1988-01-01,28.164
1989-01-01,27.721
1990-01-01,28.558
1991-01-01,28.371
1992-01-01,27.545
1993-01-01,28.345
1994-01-01,27.864
1995-01-01,28.464
1996-01-01,28.65
1997-01-01,28.464
1998-01-01,28.716
1999-01-01,27.99
2000-01-01,28.18
2001-01-01,28.497
2002-01-01,28.823
2003-01-01,29.005
2004-01-01,29.001
2005-01-01,29.129
2006-01-01,28.7
2007-01-01,28.666
2008-01-01,28.18
2009-01-01,29.478
2010-01-01,29.951
2011-01-01,29.23
2012-01-01,28.883
2013-01-01,29.053
2014-01-01,28.914
2015-01-01,28.474
2016-01-01,29.473
2017-01-01,28.894
2018-01-01,29.228
2019-01-01,29.032
2020-01-01,29.12
