Time,Data
1938-01-01,54514
1939-01-01,54514
1941-01-01,54514
1947-01-01,18171
1948-01-01,25440
1949-01-01,29074
1950-01-01,1318773
1951-01-01,1556903
1952-01-01,1534949
1953-01-01,1729140
1954-01-01,1798608
1955-01-01,1879157
1956-01-01,2120981
1957-01-01,2362865
1958-01-01,2373648
1959-01-01,2703467
1960-01-01,2952589
1961-01-01,3370137
1962-01-01,3681458
1963-01-01,4245685
1964-01-01,4220066
1965-01-01,4802523
1966-01-01,5161566
1967-01-01,6052066
1968-01-01,6197972
1969-01-01,7751508
1970-01-01,8392500
1971-01-01,9150591
1972-01-01,9275585
1973-01-01,9286457
1974-01-01,10667250
1975-01-01,11008001
1976-01-01,12490384
1977-01-01,14203904
1978-01-01,15714096
1979-01-01,15837647
1980-01-01,16600216
1981-01-01,18616656
1982-01-01,19622767
1983-01-01,20912106
1984-01-01,22224787
1985-01-01,22881405
1986-01-01,25525918
1987-01-01,28085645
1988-01-01,29284781
1989-01-01,30141179
1990-01-01,27147690
1991-01-01,28463072
1992-01-01,32918561
1993-01-01,34777844
1994-01-01,31079293
1995-01-01,31267054
1996-01-01,28908528
1997-01-01,30496981
1998-01-01,38924984
1999-01-01,42549016
2000-01-01,40282786
2001-01-01,37801699
2002-01-01,39485079
2003-01-01,43202329
2004-01-01,41569401
2005-01-01,43730550
2006-01-01,41914808
2007-01-01,43572438
2008-01-01,42790584
2009-01-01,41579400
2010-01-01,40062903
2011-01-01,43149716
2012-01-01,42742062
2013-01-01,44306891
2014-01-01,45491754
2015-01-01,42392071
2016-01-01,43388679
2017-01-01,42553287
2018-01-01,42738009
2019-01-01,41789463
2020-01-01,31238788
