Time,Data
1950,296725
1951,402981
1952,373669
1953,413973
1954,501909.03
1955,663006
1956,838789
1957,1505607
1958,1201465
1959,1443319
1960,2022231.1
1961,2278533
1962,2461733
1963,2080617
1964,2014694.9
1965,2172159
1966,2549579
1967,2677493
1968,3069214
1969,3241303
1970,3739486
1971,4348023
1972,5637977
1973,5286406
1974,4341512
1975,4591172
1976,4947198
1977,5717343
1978,6491245
1979,7583971
1980,5170837
1981,7339622
1982,7307607
1983,7630809
1984,7825903
1985,7881540
1986,8058077
1987,7447081
1988,7329222
1989,8986169
1990,5520602
1991,4290226
1992,2517116
1993,2337999
1994,1923806
1995,2089065.1
1996,2017508
1987,1543009
1998,1754709
1999,2986196
2000,3024926
2001,3220656
2002,3748272
2003,4303499
2004,4176684
2005,4261413
2006,3910715
2007,3948970
2008,4397043
2009,4406552
2010,4783865
2011,5314676
2012,4850060
2013,5287466
2014,5999658
2015,4712137
2016,4631977
2017,5564149
2018,4984045
2019,4947485
2020,4728559
2021,4619109
