Time,Data
1990-01-01,51325840
1991-01-01,49957050
1992-01-01,56174400
1993-01-01,48406096
1994-01-01,41943904
1995-01-01,33309350
1996-01-01,31242310
1997-01-01,29802216
1998-01-01,31665754
1999-01-01,28569828
2000-01-01,29506320
2001-01-01,28791316
2002-01-01,29640750
2003-01-01,30623566
2004-01-01,32077060
2005-01-01,34286420
2006-01-01,39108580
2007-01-01,30459078
2008-01-01,35449750
2009-01-01,31856400
2010-01-01,30632888
2011-01-01,32975696
2012-01-01,32773342
2013-01-01,33555216
2014-01-01,34348428
2015-01-01,34682944
2016-01-01,34727332
2017-01-01,34607040
2018-01-01,34575816
2019-01-01,37737892
2020-01-01,37508016
2021-01-01,38492804
