Time,Data
1990-01-01,128240
1991-01-01,175451
1992-01-01,204711
1993-01-01,172098
1994-01-01,201584
1995-01-01,236263
1996-01-01,283672
1997-01-01,375423
1998-01-01,368354
1999-01-01,371951
2000-01-01,382875
2001-01-01,369013
2002-01-01,401008
2003-01-01,360428
2004-01-01,290832
2005-01-01,378475
2006-01-01,374387
2007-01-01,373389
2008-01-01,401482
2009-01-01,369152
2010-01-01,464723
2011-01-01,667430
2012-01-01,772722
2013-01-01,852780
2014-01-01,948481
2015-01-01,965039
2016-01-01,1152628
2017-01-01,1239223
2018-01-01,1349379
2019-01-01,1447063
2020-01-01,1499693
2021-01-01,1522086
