Time,Data
1990-01-01,2484854800
1991-01-01,2606096100
1992-01-01,2730787600
1993-01-01,2921651000
1994-01-01,3100002000
1995-01-01,3357909000
1996-01-01,3503233500
1997-01-01,3510169000
1998-01-01,3360455400
1999-01-01,3552842000
2000-01-01,3644464000
2001-01-01,3723730700
2002-01-01,4112459000
2003-01-01,4827446000
2004-01-01,5223755000
2005-01-01,5876555300
2006-01-01,6488804000
2007-01-01,6978611700
2008-01-01,7496832000
2009-01-01,7886532600
2010-01-01,8616653000
2011-01-01,9528556000
2012-01-01,9779281000
2013-01-01,9956309000
2014-01-01,9998621000
2015-01-01,9866905000
2016-01-01,9764980000
2017-01-01,10011107000
2018-01-01,10353877000
2019-01-01,10740996000
2020-01-01,10956213000
2021-01-01,11472369000
