Time,Data
1990,22757480000
1991,23244806000
1992,22580023000
1993,22812901000
1994,22969498000
1995,23458714000
1996,24159384000
1997,24302584000
1998,24213260000
1999,24732390000
2000,25453623000
2001,25668049000
2002,26281038000
2003,27651596000
2004,28636695000
2005,29614602000
2006,30593118000
2007,31506788000
2008,32085836000
2009,31564032000
2010,33364347000
2011,34487013000
2012,35006270000
2013,35319200000
2014,35577537000
2015,35558568000
2016,35524190000
2017,36096737000
2018,36826510000
2019,37082560000
2020,35264086000
2021,37123850000
