Time,Data
1990-01-01,601945100
1991-01-01,609412700
1992-01-01,593845950
1993-01-01,579612540
1994-01-01,574016900
1995-01-01,566158900
1996-01-01,586760700
1997-01-01,562708160
1998-01-01,568543700
1999-01-01,561649600
2000-01-01,569033660
2001-01-01,577970560
2002-01-01,560273200
2003-01-01,571618750
2004-01-01,573429760
2005-01-01,570338370
2006-01-01,567845600
2007-01-01,559566460
2008-01-01,544932400
2009-01-01,494107700
2010-01-01,511904580
2011-01-01,469713300
2012-01-01,487476770
2013-01-01,477611260
2014-01-01,438807070
2015-01-01,422460800
2016-01-01,399430140
2017-01-01,387367140
2018-01-01,379729760
2019-01-01,364753280
2020-01-01,326263200
2021-01-01,346773200
