Time,Data
1990-01-01,161806910
1991-01-01,170227330
1992-01-01,170015200
1993-01-01,170206050
1994-01-01,170787550
1995-01-01,172300140
1996-01-01,181452350
1997-01-01,174492780
1998-01-01,175461140
1999-01-01,169934500
2000-01-01,171082220
2001-01-01,176207520
2002-01-01,175567730
2003-01-01,179005310
2004-01-01,180891780
2005-01-01,176917310
2006-01-01,172092060
2007-01-01,171874020
2008-01-01,174853120
2009-01-01,169529330
2010-01-01,181526740
2011-01-01,168259660
2012-01-01,164688780
2013-01-01,164674480
2014-01-01,157655580
2015-01-01,164142510
2016-01-01,164862030
2017-01-01,162493950
2018-01-01,158627840
2019-01-01,153032800
2020-01-01,137849520
2021-01-01,141045420
