Time,Data
1990-01-01,11411196
1991-01-01,17380476
1992-01-01,26780340
1993-01-01,30684492
1994-01-01,30304340
1995-01-01,31298254
1996-01-01,31668366
1997-01-01,36789308
1998-01-01,31721740
1999-01-01,30755618
2000-01-01,34011720
2001-01-01,41213508
2002-01-01,40702616
2003-01-01,41300452
2004-01-01,42711404
2005-01-01,50690104
2006-01-01,63196840
2007-01-01,62900590
2008-01-01,64256636
2009-01-01,68596750
2010-01-01,71920200
2011-01-01,79647660
2012-01-01,93822750
2013-01-01,83989550
2014-01-01,91548760
2015-01-01,91327390
2016-01-01,87544680
2017-01-01,100180024
2018-01-01,95231910
2019-01-01,101152290
2020-01-01,92860730
2021-01-01,95667180
