Time,Data
1990-01-01,44159880
1991-01-01,46133384
1992-01-01,46016510
1993-01-01,43611868
1994-01-01,42676628
1995-01-01,43419264
1996-01-01,44107436
1997-01-01,43047480
1998-01-01,44622852
1999-01-01,44445644
2000-01-01,43622370
2001-01-01,45077500
2002-01-01,43463864
2003-01-01,44647716
2004-01-01,45238264
2005-01-01,45778556
2006-01-01,45373348
2007-01-01,43368760
2008-01-01,44710572
2009-01-01,43538550
2010-01-01,45045708
2011-01-01,40985230
2012-01-01,42253030
2013-01-01,43187724
2014-01-01,39233630
2015-01-01,38731820
2016-01-01,39185340
2017-01-01,38178644
2018-01-01,36873816
2019-01-01,36733064
2020-01-01,34240970
2021-01-01,34931692
