Time,Data
1990-01-01,124079000
1991-01-01,133597000
1992-01-01,142182000
1993-01-01,153801000
1994-01-01,161168000
1995-01-01,168880000
1996-01-01,176787000
1997-01-01,190548000
1998-01-01,200162990
1999-01-01,207798990
2000-01-01,226983000
2001-01-01,229927000
2002-01-01,237650000
2003-01-01,248401010
2004-01-01,257882990
2005-01-01,266459980
2006-01-01,276159000
2007-01-01,279800000
2008-01-01,266595000
2009-01-01,252505010
2010-01-01,270148000
2011-01-01,276282980
2012-01-01,272756000
2013-01-01,273797000
2014-01-01,276311000
2015-01-01,275836000
2016-01-01,279705000
2017-01-01,284821020
2018-01-01,282842980
2019-01-01,273515000
2020-01-01,264267180
2021-01-01,282856060
