Time,Data
1990,5122496000
1991,5064987000
1992,5175220000
1993,5274363000
1994,5365579000
1995,5427798500
1996,5616430600
1997,5691864600
1998,5737129500
1999,5810331600
2000,6016350700
2001,5911988000
2002,5952699000
2003,6015804400
2004,6117963000
2005,6137603600
2006,6057163300
2007,6135287300
2008,5918868500
2009,5482978000
2010,5681392000
2011,5546629000
2012,5345454000
2013,5480926000
2014,5528871000
2015,5376578000
2016,5251757600
2017,5210957300
2018,5376657400
2019,5259144000
2020,4715691000
2021,5007336000
