Index,Direction,Before,After,Magnitude,TransformationText,FirstTransition,SecondTransition
1_0.75,drop,1,0.75,0.25,feeling extremely moist to feeling a bit less moist,extremely moist,a bit less moist
1_0.5,drop,1,0.5,0.5,feeling extremely moist to feeling rather less moist,extremely moist,rather less moist
1_0.25,drop,1,0.25,0.75,feeling extremely moist to feeling a lot less moist,extremely moist,a lot less moist
1_0,drop,1,0,1,feeling extremely moist to feeling not moist at all which it found slightly surpising,extremely moist,not moist at all which it finds slightly surpising
1_-0.25,drop,1,-0.25,1.25,feeling extremely moist to actually feeling a little bit dry which it found somewhat surpising,extremely moist,a little bit dry which it finds somewhat surpising
1_-0.5,drop,1,-0.5,1.5,feeling extremely moist to actually feeling quite dry which it found really surpising,extremely moist,quite dry which it finds really surpising
1_-0.75,drop,1,-0.75,1.75,feeling extremely moist to actually feeling very dry which it found slightly shocking,extremely moist,very dry which it finds slightly shocking
1_-1,drop,1,-1,2,feeling extremely moist to actually feeling extremely dry which it found really shocking,extremely moist,extremely dry which it finds really shocking
0.75_0.5,drop,0.75,0.5,0.25,feeling very moist to feeling a bit less moist,very moist,a bit less moist
0.75_0.25,drop,0.75,0.25,0.5,feeling very moist to feeling rather less moist,very moist,rather less moist
0.75_0,drop,0.75,0,0.75,feeling very moist to feeling not moist at all,very moist,not moist at all
0.75_-0.25,drop,0.75,-0.25,1,feeling very moist to actually feeling a little bit dry which it found slightly surpising,very moist,a little bit dry which it finds slightly surpising
0.75_-0.5,drop,0.75,-0.5,1.25,feeling very moist to actually feeling quite dry which it found somewhat surpising,very moist,quite dry which it finds somewhat surpising
0.75_-0.75,drop,0.75,-0.75,1.5,feeling very moist to actually feeling very dry which it found really surpising,very moist,very dry which it finds really surpising
0.75_-1,drop,0.75,-1,1.75,feeling very moist to actually feeling extremely dry which it found slightly shocking,very moist,extremely dry which it finds slightly shocking
0.5_0.25,drop,0.5,0.25,0.25,feeling quite moist to feeling a bit less moist,quite moist,a bit less moist
0.5_0,drop,0.5,0,0.5,feeling quite moist to feeling not moist at all,quite moist,not moist at all
